"Amount","LinkedTxn[0].TxnId","LinkedTxn[0].TxnType","Parent_Id","TxnDate","DocNumber","Parent_Entity"
"90.0","47954",Bill,"48010","2025-09-11","22401",BillPayment
"90.0","47949",Bill,"48008","2025-09-11","223400",BillPayment
"1100.0","47525",Bill,"48018","2025-09-11","22408",BillPayment
"3146.0","47889",JournalEntry,"48017","2025-09-11","22407",BillPayment
"393.72","47836",JournalEntry,"48017","2025-09-11","22407",BillPayment
"534.02","47853",JournalEntry,"48017","2025-09-11","22407",BillPayment
"1356.02","47555",Bill,"48015","2025-09-11","22406",BillPayment
"156.0","47791",Bill,"48014","2025-09-11","22405",BillPayment
"362.12","47913",Bill,"48025","2025-09-11","22415",BillPayment
"150.0","47787",Bill,"48024","2025-09-11","22414",BillPayment
"204.19","47795",Bill,"48023","2025-09-11","22413",BillPayment
"15.7","47946",Bill,"48022","2025-09-11","22412",BillPayment
"94.07","47947",Bill,"48022","2025-09-11","22412",BillPayment
"157.07","46907",Bill,"48021","2025-09-11","22411",BillPayment
"2309.11","47908",Bill,"48020","2025-09-11","22410",BillPayment
"556.69","46908",Bill,"48019","2025-09-11","22409",BillPayment
"3750.0","47557",Bill,"48030","2025-09-11","22420",BillPayment
"192.5","47850",Bill,"48029","2025-09-11","22419",BillPayment
"156.0","47792",Bill,"48028","2025-09-11","22418",BillPayment
"82.77","47571",Bill,"48027","2025-09-11","22417",BillPayment
"251.31","47909",Bill,"48026","2025-09-11","22416",BillPayment
"183.25","47794",Bill,"48035","2025-09-11","11634",BillPayment
"8420.22","47842",Bill,"48034","2025-09-11","11633",BillPayment
"25653.36","47670",Bill,"48034","2025-09-11","11633",BillPayment
"9840.64","47870",JournalEntry,"48034","2025-09-11","11633",BillPayment
"24405.34","47528",Bill,"48033","2025-09-11","11632",BillPayment
"2513.08","47950",Bill,"48032","2025-09-11","11631",BillPayment
"2798.16","47951",Bill,"48032","2025-09-11","11631",BillPayment
"800.0","47577",Bill,"48031","2025-09-11","11630",BillPayment
"2.61","47280",Bill,"48039","2025-09-11","11638",BillPayment
"32.45","47281",Bill,"48039","2025-09-11","11638",BillPayment
"18.83","47283",Bill,"48039","2025-09-11","11638",BillPayment
"7.32","47284",Bill,"48039","2025-09-11","11638",BillPayment
"39.81","47279",Bill,"48039","2025-09-11","11638",BillPayment
"204.19","47069",Bill,"48038","2025-09-11","11637",BillPayment
"197.27","47952",Bill,"48037","2025-09-11","11636",BillPayment
"335.0","47796",Bill,"48036","2025-09-11","11635",BillPayment
"423.31","46648",Bill,"48041","2025-09-11",online,BillPayment
"21.3","46642",Bill,"48040","2025-09-11",online,BillPayment
"541.49","46647",Bill,"48042","2025-09-11",online,BillPayment
"884.85","46644",Bill,"48043","2025-09-11",online,BillPayment
"285.0","48155",Bill,"48156","2025-09-18",online,BillPayment
"1645.88","48098",Bill,"48257","2025-09-17","22424",BillPayment
"581.75","47587",Bill,"48281","2025-09-18","22429",BillPayment
"44.9","48070",Bill,"48280","2025-09-18","22428",BillPayment
"31.41","48073",Bill,"48279","2025-09-18","22427",BillPayment
"424.31","48074",Bill,"48279","2025-09-18","22427",BillPayment
"42.93","48075",VendorCredit,"48279","2025-09-18","22427",BillPayment
"126.0","48071",Bill,"48278","2025-09-18","22426",BillPayment
"4658.18","48199",Bill,"48277","2025-09-18","22425",BillPayment
"182.91","48115",Bill,"48285","2025-09-18","22433",BillPayment
"830.13","48117",Bill,"48285","2025-09-18","22433",BillPayment
"688.43","48118",Bill,"48285","2025-09-18","22433",BillPayment
"520.59","48119",Bill,"48285","2025-09-18","22433",BillPayment
"1224.09","48200",Bill,"48285","2025-09-18","22433",BillPayment
"900.48","48202",Bill,"48285","2025-09-18","22433",BillPayment
"436.17","48238",Bill,"48285","2025-09-18","22433",BillPayment
"187.43","47244",Bill,"48284","2025-09-18","22432",BillPayment
"3700.0","48234",Bill,"48283","2025-09-18","22431",BillPayment
"480.21","47245",Bill,"48282","2025-09-18","22430",BillPayment
"96.66","48044",Bill,"48287","2025-09-18","22435",BillPayment
"756.0","47248",Bill,"48286","2025-09-18","22434",BillPayment
"4696.61","47833",Bill,"48292","2025-09-18","11642",BillPayment
"90.0","48154",Bill,"48291","2025-09-18","11641",BillPayment
"2387.43","48133",Bill,"48290","2025-09-18","11640",BillPayment
"100.0","48076",Bill,"48289","2025-09-18","11639",BillPayment
"8.67","47919",Bill,"48296","2025-09-18","11646",BillPayment
"101.04","47945",Bill,"48295","2025-09-18","11645",BillPayment
"1105.76","48233",Bill,"48294","2025-09-18","11644",BillPayment
"544.32","47844",Bill,"48293","2025-09-18","11643",BillPayment
"465.0","48397",Bill,"48398","2025-09-24",online,BillPayment
"1123.16","47455",Bill,"48493","2025-09-25",online,BillPayment
"594.89","47454",Bill,"48492","2025-09-25",online,BillPayment
"147.91","47456",Bill,"48491","2025-09-25",online,BillPayment
"260.75","47451",Bill,"48490","2025-09-25",online,BillPayment
"246.05","47470",Bill,"48494","2025-09-25",online,BillPayment
"98.42","47471",Bill,"48495","2025-09-25",online,BillPayment
"511.59","47542",Bill,"48513","2025-09-25","22438",BillPayment
"95.0","48245",Bill,"48512","2025-09-25","22437",BillPayment
"1118.4","48336",Bill,"48516","2025-09-25","22441",BillPayment
"3324.04","48338",Bill,"48516","2025-09-25","22441",BillPayment
"766.09","48340",Bill,"48516","2025-09-25","22441",BillPayment
"723.7","48341",Bill,"48516","2025-09-25","22441",BillPayment
"4725.18","48334",Bill,"48516","2025-09-25","22441",BillPayment
"78.12","47848",Bill,"48515","2025-09-25","22440",BillPayment
"134.74","47849",Bill,"48515","2025-09-25","22440",BillPayment
"17.01","48307",Bill,"48514","2025-09-25","22439",BillPayment
"113.72","48399",Bill,"48514","2025-09-25","22439",BillPayment
"703.5","48468",Bill,"48521","2025-09-25","22446",BillPayment
"872.34","48469",Bill,"48521","2025-09-25","22446",BillPayment
"247.23","48422",Bill,"48521","2025-09-25","22446",BillPayment
"478.38","48471",Bill,"48521","2025-09-25","22446",BillPayment
"2096.43","48424",Bill,"48521","2025-09-25","22446",BillPayment
"211.05","48425",Bill,"48521","2025-09-25","22446",BillPayment
"661.29","48506",Bill,"48521","2025-09-25","22446",BillPayment
"7989.5","48246",Bill,"48520","2025-09-25","22445",BillPayment
"2466.0","48050",Bill,"48519","2025-09-25","22444",BillPayment
"1559.52","48509",Bill,"48518","2025-09-25","22443",BillPayment
"143.44","47545",Bill,"48517","2025-09-25","22442",BillPayment
"14926.42","47573",Bill,"48526","2025-09-25","22451",BillPayment
"502.32","46962",Bill,"48525","2025-09-25",online,BillPayment
"6808.68","48243",Bill,"48525","2025-09-25",online,BillPayment
"435.62","47912",Bill,"48524","2025-09-25","22449",BillPayment
"126.0","48441",Bill,"48523","2025-09-25","22448",BillPayment
"92.66","47457",Bill,"48522","2025-09-25","22447",BillPayment
"458.12","48343",Bill,"48529","2025-09-25","22454",BillPayment
"1202.06","48467",Bill,"48528","2025-09-25","22453",BillPayment
"429.49","48508",Bill,"48528","2025-09-25","22453",BillPayment
"169.87","48446",Bill,"48528","2025-09-25","22453",BillPayment
"421.98","47452",Bill,"48527","2025-09-25","22452",BillPayment
"1923.25","47529",Bill,"48531","2025-09-25","11648",BillPayment
"693.59","48126",Bill,"48531","2025-09-25","11648",BillPayment
"343.99","48333",Bill,"48530","2025-09-25","11647",BillPayment
"3355.2","48337",Bill,"48533","2025-09-25","11650",BillPayment
"2222.72","48339",Bill,"48533","2025-09-25","11650",BillPayment
"774.61","48335",Bill,"48533","2025-09-25","11650",BillPayment
"167.02","47544",Bill,"48532","2025-09-25","11649",BillPayment
"77.44","48236",Bill,"48538","2025-09-25","11655",BillPayment
"225.93","48237",Bill,"48538","2025-09-25","11655",BillPayment
"183.25","48466",Bill,"48537","2025-09-25","11654",BillPayment
"278.75","47918",Bill,"48536","2025-09-25","11653",BillPayment
"323.01","47541",Bill,"48535","2025-09-25","11652",BillPayment
"102.1","47472",Bill,"48534","2025-09-25","11651",BillPayment
"22.49","47920",Bill,"48539","2025-09-25","11656",BillPayment
"93.98","47921",Bill,"48539","2025-09-25","11656",BillPayment
"1000.0","48447",Bill,"48541","2025-09-25","11658",BillPayment
"190.0","48396",Bill,"48540","2025-09-25","11657",BillPayment
"566.03","48332",Bill,"48542","2025-09-25","22455",BillPayment
"3141.36","48547",Bill,"48548","2025-09-26","22456",BillPayment
"1527.83","48546",Bill,"48549","2025-09-26","11659",BillPayment
"16216.24","47911",Bill,"48550","2025-09-26",online,BillPayment
